Datum;Km-Stand;Teil-Km;Spritmenge;Kosten;Währung;Tankart;Reifen;Strecken;Fahrweise;Kraftstoff;Bemerkung;Verbrauch
24.10.2011;28023,00;350,00;34,30;51,07;"EUR";1;1;14;2;7;"";9,80
17.10.2011;27673,00;344,00;35,37;52,67;"EUR";1;1;14;1;7;"";10,28
15.10.2011;27329,00;360,00;33,50;51,22;"EUR";1;1;14;2;7;"";9,31
03.10.2011;26969,00;432,00;44,15;65,69;"EUR";1;1;14;2;7;"";10,22
01.10.2011;26537,00;295,00;29,88;44,79;"EUR";1;1;14;2;7;"";10,13
26.09.2011;26242,00;310,00;35,51;52,52;"EUR";1;1;14;3;7;"";11,45
19.09.2011;25932,00;487,00;49,21;76,72;"EUR";1;1;14;2;7;"";10,10
14.09.2011;25445,00;402,00;39,78;60,82;"EUR";1;1;14;2;7;"";9,90
08.09.2011;25043,00;357,00;41,15;62,92;"EUR";1;1;14;3;7;"Fahrt auf den Kyffhäuser";11,53
04.09.2011;24686,00;420,00;47,99;75,78;"EUR";1;1;14;2;7;"";11,43
23.08.2011;24266,00;286,00;29,76;43,12;"EUR";1;1;14;2;7;"";10,41
20.08.2011;23980,00;437,00;44,07;66,06;"EUR";1;1;14;2;7;"";10,08
13.08.2011;23543,00;338,00;37,99;56,57;"EUR";1;1;2;3;8;"Münster nach Bad Sachsa: A44 mit Vollgas";11,24
13.08.2011;23205,00;419,00;47,75;73,49;"EUR";1;1;2;3;7;"Braunschweig nach Münster: A2";11,40
11.08.2011;22786,00;283,00;27,58;42,17;"EUR";1;1;2;2;7;"";9,75
05.08.2011;22503,00;552,00;51,89;80,90;"EUR";1;1;2;2;7;"München nach Nordhausen über A9 mit 140-180 km/h wenn frei war. Fahrzeit 5h 02 min.";9,40
04.08.2011;21951,00;414,00;35,08;54,69;"EUR";1;1;12;2;7;"";8,47
01.08.2011;21537,00;492,00;44,89;61,32;"EUR";1;1;2;1;7;"";9,12
01.08.2011;21045,00;258,00;21,66;34,53;"EUR";1;1;2;1;7;"";8,40
31.07.2011;20787,00;361,00;37,45;58,76;"EUR";1;1;14;2;7;"";10,37
20.07.2011;20426,00;472,00;47,98;77,20;"EUR";1;1;14;3;8;"";10,17
16.07.2011;19954,00;467,00;47,67;75,27;"EUR";1;1;12;3;8;"";10,21
10.07.2011;19487,00;390,00;43,05;65,82;"EUR";1;1;14;3;8;"";11,04
04.07.2011;19097,00;480,00;49,85;73,23;"EUR";1;1;14;2;8;"";10,39
26.06.2011;18617,00;448,00;51,54;74,68;"EUR";1;1;2;3;7;"";11,50
19.06.2011;18169,00;303,00;34,01;52,00;"EUR";1;1;2;3;7;"";11,22
